,BUSINESS_NAME,DBA_NAME,ZIP_CODE,LOCATION,zip
37,C S & C TORRES CORP,DTLA GROCERY OUTLET,90017-4905,"(34.0543, -118.2629)",90017
38,DANELIA ALMANZAR,MINI MARKET DON JOSE,90062-2325,"(33.9999, -118.309)",90062
39,JOSE ELIAS MATEO PABLO,MINI MARKET LA BENDICION,90011-4714,,90011
40,CARLOS & MARIBEL GONZALEZ,EL PRINCIPIO MARKET #2,90011-1407,"(34.0258, -118.2639)",90011
41,MARIA DE JESUS FERNANDEZ,EL MOLINO MEXICAN DELICATESSEN,90007-1514,"(34.0327, -118.2964)",90007
42,HANDLE DELIVERY INC,HANDLE DELIVERY INC,90007-2034,"(34.0311, -118.2731)",90007
43,SABB INC,SABB MARKET,90002-1738,"(33.9554, -118.2564)",90002
44,MARIA DOLORES FUENTES MONDRAGON,LUPITAS 99 & UP MINI MARKET,90003-2917,"(33.9635, -118.2743)",90003
45,"3128 SUNSET, LLC",SILVERLAKE DRIVE THRU,90026-2132,,90026
46,7-ELEVEN INC,7-ELEVEN STORE 41355H,90045-4805,,90045
47,FRESH FOODS GROUP INC.,TEMPLE SEAFOOD MARKETPLACE,90026-4818,"(34.0715, -118.2728)",90026
48,DANA E AVILA,TIENDA  SAN RAFAEL,90037-3515,"(33.9963, -118.2915)",90037
49,HUGO FLORES RIVERA,LA CHIQUITA MINI STORE,90063-2218,"(34.0407, -118.1856)",90063
50,JORGE A RODRIGUEZ NAVA,GUAPOS MARKET,90005-1520,"(34.0586, -118.2916)",90005
51,FATMA ELMAGHRBY,L.A. MINI MARKET,90003-4710,"(33.9453, -118.2735)",90003
52,GROCERY OUTLET INC,GROCERY OUTLET INC,90017-4905,"(34.0541, -118.2626)",90017
53,SUPER CENTER CONCEPTS INC,SUPERIOR GROCERS #108 | SUPERIOR SUPER WAREHOUSE,90047-3329,"(33.9579, -118.309)",90047
54,GLORIA CARAVANTES DE GALDAMEZ,MERCY MINI MARKET,90004-3333,"(34.0764, -118.2978)",90004
55,SUPER CENTER CONCEPTS INC,SUPERIOR GROCERS,90044-3712,"(33.9891, -118.2914)",90044
56,7-ELEVEN INC,7-ELEVEN STORE 37727H,90019-5251,,90019
57,ANTHONY ROBERT VALTIERRA,BLAZERS MINI MART,90004-2154,"(34.0827, -118.2913)",90004
58,D & E FOOD MARKET INC,EDWIN SONG,90007-1237,"(34.0403, -118.288)",90007
59,DERRICK A HARVEY,RIGHT CHOICE CARIBBEAN MARKET,90008-2536,"(34.0065, -118.3345)",90008
60,HOROS LLC,LOCALI,90028-5609,"(34.1052, -118.3163)",90028
61,SPRING MINI MART,SPRING MINI MART,90013-2345,"(34.046, -118.2505)",90013
62,JESUS COUTINO,ARTURO'S DISCOUNT,90011-2037,"(34.0165, -118.2558)",90011
63,SATNAM SINGH/SATVINDER VALERIE SINGH,SUNNY LIQUOR & MARKET,90066-3507,,90066
64,"H MART ECC, LLC","H MART ECC, LLC",90020-5802,"(34.0632, -118.2986)",90020
65,ROBERTO GARDUNO ROJAS,EL SIN FIN MINI MARKET,90044-6008,"(33.971, -118.2869)",90044
66,SUPRMARKT,SUPRMARKT,90043-2428,"(33.9888, 33.9888)",90043
67,BOBS FOOD MARKET AND LIQUOR INC,BOBS FOOD MARKET AND LIQUOR INC,90034-3809,"(34.0288, -118.4033)",90034
68,MARNIE REGINA LYLES,RENEW WELLNESS,90008-1029,"(34.0167, -118.3642)",90008
69,HILDA JUAREZ,ALL COMMUNITY SMOKE & MUNCH,90047-1835,"(33.979, -118.3091)",90047
70,GOURMET MARKET & SPIRITS INC,GOURMET MARKET & SPIRITS INC,90014-2138,"(34.0428, -118.2509)",90014
71,MOON CHA JOE,7-ELEVEN STORE 25599A,90027-4202,"(34.1054, -118.2908)",90027
72,DANIEL DEMOZ / ROHA DANEL,PICO SMOKE SHOP AND MARKET,90019-0019,"(34.047, -118.311)",90019
73,"G AND J GROSS, INC.",MICKEY FINE AT WATT PLAZA,90067-2337,"(34.061, -118.4149)",90067
74,LINDA SIVRICAN,SESAME LA,90012-1715,"(34.0652, -118.2382)",90012
75,ERIC PARRA,MOTHERS AND BABIES NUTRITION,90037-2463,"(34.0059, -118.2915)",90037
76,TRADER JOE'S CO,TRADER JOE'S #250,90089-8500,"(34.0266, -118.284)",90089
77,HUIQING JIANG,EAST L.A MARKET,90063-3842,"(34.0489, -118.189)",90063
78,KAYLAAH MEAT MARKET LLC,KAYLAAH MEAT MARKET LLC,90022-4015,"(34.0198, 34.0198)",90022
79,JUAN D SALGADO,EL REGALO MARKET,90022-5213,"(34.0131, -118.1433)",90022
80,KYUNG JIN OH,GOK JEE FOODS,90004-4128,"(34.0716, -118.3091)",90004
81,CARLOS B GOMEZ,JELIAN'S DISCOUNT STORE,90062-2713,"(33.9902, -118.3086)",90062
82,JUAN OROZCO,OROZCO'S CAKE BAKERY,90011-1239,"(34.0214, -118.2531)",90011
83,RIGOBERTO GONZALEZ,TIENDA GONZALEZ,90057-3314,"(34.0595, -118.2748)",90057
84,CONSTELLATION CC PARTNERS LLC,CONSTELLATION SUNDRIES AND GIFTS,90067-6272,"(34.0571, 34.0571)",90067
85,EVA QUINTERO,WATER BOY PLUS,90063-2719,"(34.049, -118.1937)",90063
86,IMTIAZ ALI,BUBBA GEE MARKET,90027-3169,"(34.1072, -118.2893)",90027
87,MAGGIE KIM,MAGGIE KIM,90026-4821,"(34.0725, -118.2749)",90026
88,SMART & FINAL STORES LLC,SMART & FINAL #363,90029-3246,"(34.0876, -118.3091)",90029
89,C-SWEET LLC,7-ELEVEN STORE 16114C,90025-4617,,90025
90,I&O COMMUNITY MARKET LLC,QUICKMART-LA,90014-2119,"(34.0443, -118.2488)",90014
91,RALPHS GROCERY CO,RALPHS GROCERY CO #210,90064-1202,"(34.0338, -118.4485)",90064
92,BAZAR EUROPEAN MARKET INC.,BAZAR EUROPEAN MARKET INC.,90066-6946,"(33.9836, -118.4123)",90066
93,3020 WEST SLAUSON LLC,WEST-SLAUSON MARKET,90043-3023,"(33.9887, -118.3349)",90043
94,AHMED H IBRAHIM,CNA #2 MINIMART,90003-3211,"(33.9592, -118.2831)",90003
95,BODEGA LATINA CORP,BODEGA LATINA CORP,90003-2232,"(33.9744, -118.2691)",90003
96,MILLENNIAL CONFECTIONS,MUNCHIES,90035-3335,"(34.0553, -118.3851)",90035
97,SMART & FINAL STORES LLC,SMART & FINAL STORES LLC,90035-4662,"(34.0432, -118.3769)",90035
98,J & R MARKET LLC,J & R MARKET,90011-5644,"(34.0094, -118.2656)",90011
99,ANA L. VENTURA,A'S CORNER,90033-2028,"(34.0547, -118.1948)",90033
100,SF MARKETS LLC,SPROUTS # 437,90019-2915,"(34.0491, -118.344)",90019
101,SUNNY LATINO MARKET INC,SUNNY LATINO MARKET INC,90047-2137,"(33.9743, -118.3158)",90047
102,CJYK CORPORATION,DAILY FOOD MARKET,90011-1430,"(34.0239, -118.2649)",90011
103,AMEF GROUP LLC,MANCHESTER MARKET,90047-3000,"(33.9603, -118.3102)",90047
104,J & M WATER,J & M WATER,90065-3821,"(34.1254, 34.1254)",90065
105,"HANSUNG & MYUNGHEE, INC.",LEE'S MARKET,90006-3807,"(34.0472, -118.304)",90006
106,JORGE ALBERTO RAMOS,HOOVER STORE,90044-6031,"(33.9684, -118.2874)",90044
107,HOE AE CHUNG,VENUS MARKET,90003-4817,"(33.9442, -118.2651)",90003
108,MEADOW MAID MARKET INC,MEADOW MALD MARKET,90032-3411,"(34.0769, -118.1683)",90032
109,GRACE & H INC,STEW'S MILK MARKET,90032-1701,"(34.0899, -118.1704)",90032
110,ARTEMIO SADOT MARTINEZ/ MARIA MAGDALENA CRUZ,MINI MARKET GUADALUPANA,90038-3202,"(34.0907, -118.3145)",90038
111,BANGLADESH FOODS INC.,ROY MARKETS,90029-1070,"(34.0915, -118.3096)",90029
112,ELIA CABRERA LEON,MONTOYA'S MINI MARKET,90003-1940,"(33.9785, -118.2695)",90003
113,DAWIT BELAY,MERKATO,90019-4401,"(34.0573, -118.3642)",90019
114,ERIC CASTILLO,CASTILLOS MARKET,90037-3342,"(33.9986, -118.2825)",90037
115,NICOLAS GARCIA PEREZ,GARCIA'S MARKET,90037-2444,"(34.0036, -118.2953)",90037
116,RAIHAN KABIR CHOWDHURY / ZAHAN ARA CHOWDHURY,LA BUENA FE MARKET,90029-3328,"(34.0835, -118.303)",90029
117,SHAHID RAJI,PHIL'S DISCOUNT STORE,90017-1678,"(34.0589, -118.2631)",90017
118,MARCO ANTONIO PEREZ,PEREZ MINI MARKET,90003-3629,"(33.955, -118.2779)",90003
119,GOODLE. INC,JC MART,90010-2402,"(34.0612, -118.3023)",90010
120,BENIAM MULUGETA,HENRYS MARKET,90007-2043,"(34.0325, -118.2762)",90007
121,PETRO AND FOOD MART MANAGEMENT GROUP INC,PETRO AND FOOD MART MANAGEMENT GROUP INC,90035-4316,"(34.0487, 34.0487)",90035
122,JOEL VILLANUEVA SUAREZ,GENESIS MARKET,90001-3630,"(33.9603, -118.265)",90001
123,NESTOR A CASTRO RODRIGUEZ,SAN MIGUEL MARKET 2,90037-2040,"(34.0072, -118.2829)",90037
124,DAYSI S RAMIREZ NUNEZ,DAYSI'S STORE,90006-4001,"(34.0475, -118.2868)",90006
125,YONG KAK CHON,EXPRESS NEWS,90012-3701,"(34.0515, -118.244)",90012
126,HONG CHAN BAE,FARM FRESH DAIRY,90003-4314,"(33.9473, -118.2651)",90003
127,MI KIM,HAPPY SMOKE SHOP,90017-2244,"(34.0526, -118.2628)",90017
128,VICTOR TORRES,KATE'S MINI MARKET,90044-6104,"(33.9746, -118.2853)",90044
129,Y/B ENTERPRISES INC,SUPER BUY LIQUOR,90044-5125,"(33.9742, -118.2914)",90044
130,ALFA ENTERPRISE INC,VANS MARKET,90066-4103,"(33.9973, -118.435)",90066
131,BROADWAY SMOKE HOUSE INC,7TH STREET MARKET,90014-2800,,90014
132,MIGUEL ANGEL HERNANDEZ,LOS 3 HERNANDEZ MINI MARKET,90007-3436,"(34.0255, -118.2948)",90007
133,APINYA INC,CAL MART BEER & WINE FOOD STORE,90007-3712,"(34.025, -118.278)",90007
134,PHILIPPINE MARKET CORPORATION,AMERICAN RANCH AND SEAFOOD MARKET OF LA,90029-2619,"(34.0897, -118.2921)",90029
135,DALLAE INC,PINCHER'S LIQUOR,90019-4133,"(34.048, -118.3497)",90019
136,YOUNG KYUNG PAK,FRANKS LIQUOR & MARKIET,90025-4907,"(34.0547, -118.4283)",90025
137,MD KAMRUZZAMAN MILTON,LA GROCERY + 99CENTS STORE,90020-2002,"(34.0689, -118.292)",90020
138,"NAT STORES GROUP, INC.",7-ELEVEN STORE 21565C,90035-3718,"(34.0518, -118.3761)",90035
139,"J & M TRADING CO, INC",EL CHARRITO MARKET,90011-1022,"(34.0256, 34.0256)",90011
140,RASTA FARMS,RASTA FARMS,90003-3836,"(33.9513, 33.9513)",90003
141,LUIS ENRIQUE RODRIGUEZ,TITO'S MINI MARKET,90063-3113,"(34.0337, -118.2007)",90063
142,AMINA KHATOON ROB,SAN PEDRO DISCOUNT MARKET,90061-2450,"(33.9252, -118.2695)",90061
143,RALPHS GROCERY CO,RALPHS STORE #16,90005-3024,"(34.0605, -118.309)",90005
144,SUPER CENTER CONCEPTS INC,SUPERIOR GROCERS,90016-5258,"(34.024, -118.3554)",90016
145,BIG BBM INC,BIG BEAR LIQUOR & MARKET,90033-3506,"(34.0422, 34.0422)",90033
146,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,90037-2411,"(34.004, -118.2915)",90037
147,MANUEL TORRES/JENNY A TORRES,MERCADO MEXICO,90023-1710,"(34.0259, -118.1968)",90023
148,PRABHSHARAN KAUR,TONY'S MARKET,90031-1513,"(34.092, -118.2104)",90031
149,MAIN MARKET INC,MAIN MARKET,90014-2008,"(34.0439, -118.2512)",90014
150,CELIA IRMA SANCHEZ,LA OAXAQUENA MY MARKET,90038-2904,"(34.0904, -118.3129)",90038
151,NK MERCHANDISE,NK MERCHANDISE,90003-1164,"(33.9868, -118.2751)",90003
152,MOHAMMAD ATIAR RAHMAN,IVY MINI MARKET,90004-2107,"(34.083, -118.2953)",90004
153,C & P ALAGH CORPORATION,7 ELEVEN STORE 19985C | 7-ELEVEN 2126-19985,90065-4405,"(34.1218, -118.2249)",90065
154,STEVEN YOUNG,YOUNG'S MARKET AND PARTY SUPPLIES,90044-6008,"(33.971, -118.2869)",90044
155,INFINITE C-STORES INC,7 ELEVEN STORE #22381C | 7-ELEVEN STORE 22381C,90042-3922,"(34.1058, -118.2003)",90042
156,ANA BAUTISTA NUNEZ,GUADALUPANA MINI MARKET,90038-3202,"(34.0907, -118.3145)",90038
157,JORGE A GONZALEZ,JORGE A GONZALEZ,90042-1744,"(34.1206, -118.2026)",90042
158,BERBERIAN ENTERPRISES INC,JONS MARKET #3,90005-2435,"(34.0576, -118.3009)",90005
159,TOM WON HO LEE,7-ELEVEN #18303E,90029-2014,"(34.0908, -118.2863)",90029
160,ALONDRA MADRIGAL RODRIGUEZ,B&B MARKET,90011-4635,"(33.9935, -118.261)",90011
161,RALPHS GROCERY CO,RALPHS GROCERY CO #274,90047-3034,"(33.9599, -118.3076)",90047
162,FAMILY DOLLAR INC,FAMILY DOLLAR INC #31527,90047-2253,"(33.9736, -118.3086)",90047
163,ABDIAS SALOJ,MUNDO1AR,90017-1002,"(34.0569, -118.2691)",90017
164,JOSE GARCIA,WENDY'S MARKET,90065-2843,"(34.1138, -118.2362)",90065
165,HEALTH CARE NATURAL,HEALTH CARE NATURAL,90014-2119,,90014
166,MYKAP INC,MAIN ST MARKET,90007-4127,"(34.0191, -118.2725)",90007
167,KELLY RANGHEE KANG,KELLY RANGHEE KANG,90007-1660,"(34.0342, -118.2914)",90007
168,"ORIGINAL AFRICAN MARKET, INC","ORIGINAL AFRICAN MARKET, INC",90021-1836,"(34.0335, -118.2445)",90021
169,LEZLY YANILETH DE LEON,YANILETH MINI STORE,90003-2128,"(33.9714, -118.2739)",90003
170,JHC MARKET INC,JHC MARKET INC,90001-3324,"(33.9646, -118.2561)",90001
171,GEORGE MAGALLON,VINCE'S MARKET,90039-2254,"(34.1139, -118.2539)",90039
172,DONNA & BOBIN CORP,DONNA & BOBIN CORP,90011-4942,"(33.9928, -118.2474)",90011
173,"FA HEALTH & FITNESS, LLC",PRIME SPORTS NUTRITION,90015-3757,"(34.0418, -118.2564)",90015
174,GUSTAVO ANDRADE ISABELES,LUPITA'S MARKET,90018-3705,"(34.0255, -118.3236)",90018
175,HARE K NATH,HARE K NATH,90020-2305,"(34.069, -118.297)",90020
176,NOE GUZMAN GARCIA,QUICKY'S MINIMART,90037-3039,"(34.0036, -118.2911)",90037
177,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,90006-4901,"(34.0467, -118.2829)",90006
178,EDILBERTO RODRIGUEZ MONTEZ,MINI MARKET RODRIGUEZ,90061-1812,"(33.9309, -118.2738)",90061
179,SARI-SARI 88 LLC,BAHAY NATIN SEAFOOD MARKET,90034-5111,"(34.0235, -118.3992)",90034
180,LA BROADWAY MARKET INC,LA BROADWAY MARKET INC,90003-3329,"(33.963, -118.2782)",90003
181,HEALTH NUTRITION PRODUCT INC,HEALTH NUTRITION,90011-3154,"(34.008, -118.2564)",90011
182,TAPOVAN INC,7 ELEVEN 2136-33028A | 7 ELEVEN STORE 33028B,90026-3002,"(34.0778, -118.266)",90026
183,ANUTTAR BARUA & SHIMUL BARUA,BENGAL BARUA GROUP OF COMPANY INC / BENGAL LIQUOR,90020-2008,"(34.0689, -118.2946)",90020
184,DAILY FOOD MARKET INC,DAILY FOOD MARKET,90011-1430,"(34.024, -118.265)",90011
185,CBD LIFE SOLUTIONS INC,CBD LIFE SOLUTIONS INC,90047-2124,"(33.9747, -118.3103)",90047
186,NESPRO INC,NESPRO INC,90057-2318,"(34.0625, -118.2719)",90057
187,BEYOND VEGAN LLC,BEYOND VEGAN FAIRFAX,90036-3122,"(34.0676, -118.3617)",90036
188,MAGDALENA DELFINA LEON PEDRAZA,MARIA ARANDA MINI MARKET,90011-4307,"(34.0009, -118.2477)",90011
189,KWONG SHOP LLC,KWONG SHOP LLC,90019-2545,"(34.0513, 34.0513)",90019
190,AL WORAFI CORPORATION,A N B MINI MARKET,90014-2311,"(34.0418, -118.2478)",90014
191,MARVIN PEREZ VASQUEZ,ROSA'S MARKET & ENVIOS DE DINERO,90037-1901,"(34.009, 34.009)",90037
192,NAT ENTERPRISES INC,7 ELEVEN STORE #16950E,90057-1016,"(34.0718, -118.2822)",90057
193,AFRICAN PRODUCE MARKET INC,AFRICAN PRODUCE MKS INC | AFRICAN PRODUCE MKT. INC,90016-1741,"(34.0397, -118.339)",90016
194,HARJEET/VIRINDER GILL,7-ELEVEN STORE 23169B,90019-4402,"(34.0563, -118.3646)",90019
195,EUH HI CHOI/SUNNY SUN CHU CHOI,COMPTON MARKET & LIQUOR,90011-3331,"(34.0067, -118.2473)",90011
196,ARMANDO PUENTE,SELECTA SUPERMARKET,90020-3825,"(34.0689, -118.3094)",90020
197,GOAL VENTURE INC,STOP SHOP MARKET,90011-4227,"(33.9983, -118.2522)",90011
198,HANIBI CORPORATION,UNIVERSAL GROCERY STORE,90001-2426,"(33.9717, -118.2567)",90001
199,EEL SEON YOO BIBIANA J YOO,J MARKET,90048-4315,"(34.0725, -118.3693)",90048
200,RAQUEL'S CASH N' CARRY,RAQUEL'S CASH N' CARRY,90021-1830,"(34.0327, -118.2449)",90021
201,UNO MART INC,UNO PRODUCE MARKET #5,90042-2027,"(34.1233, -118.1852)",90042
202,SILOM SUPERMARKET INC,SILOM SUPERMARKET,90027-4910,"(34.1017, -118.3062)",90027
203,RALPHS GROCERY CO,FOOD 4 LESS #322,90002-2924,"(33.9432, -118.2432)",90002
204,MARICELA ACOSTA,LA PROVIDENCIA MARKET,90029-1913,"(34.0957, -118.2874)",90029
205,SERGIO JIMENEZ MONTES,AVALON'S BEST MINI MARKET,90061-3010,"(33.9354, -118.2651)",90061
206,NU WAY MARKET,NU WAY MARKET,90001-1819,"(33.9846, -118.2416)",90001
207,VIRGILIO D CANCHE,MINI MARKET & VARIEDADES LOS TRES HERMANOS,90037-1901,"(34.0091, -118.2872)",90037
208,MACK N MINAS LLC,MAMBA MART,90013-2718,"(34.0453, -118.2487)",90013
209,JUSTIN CHULHO CHOI,ARLINGTON COMMUNITY MARKET,90018-4367,"(34.0182, -118.3181)",90018
210,E AND N DISCOUNT CORP.,E AND N DISCOUNT CORP.,90011-5643,"(34.0079, -118.2649)",90011
211,MARIA ALICIA FERIA HERNANDEZ,EL OJO DE AGUA & MINI MARKET,90042-3905,"(34.107, -118.2034)",90042
212,5059 MELROSE OPERATOR LLC,PRODUCE FOR LESS,90038-4115,"(34.0838, -118.3105)",90038
213,SOON IL PARK,WESTERN GROCERY,90018-4434,"(34.0199, -118.3089)",90018
214,USJ CORPORATION,JAN'S LIQUOR,90064-1137,"(34.0284, -118.452)",90064
215,MARISOL GALENO,ANGELICAS MARKET,90003-3810,"(33.9554, 33.9554)",90003
216,TERESA RODRIGUEZ MOLINA,EL CHILITO MINI MARKET,-,"(0.0, 0.0)",
217,JH BAZAAR INC,JH BAZAAR INC,90007-2230,"(34.0293, -118.2915)",90007
218,AMBROSIO CHAN,CHANS MARKET,90017-2115,"(34.0526, -118.2721)",90017
219,6TH ST MARKET INC,6TH ST MARKET INC,90014-1802,"(34.0461, -118.2512)",90014
220,DEMETRIO PEREZ & JOSE E LOPEZ,J.J MARKET,90007-3327,"(34.024, -118.2723)",90007
221,BIGMOM LLC,BIGMOM LLC,90021-2418,"(34.0269, 34.0269)",90021
222,RHA INC,ART'S 76,90028-5611,"(34.1016, -118.3178)",90028
223,HELADIO VIDAL HERNANDEZ,LOS 3 MIGUELES MARKET,90011-3153,"(34.0083, -118.2565)",90011
224,JUNG DUK WON,PENNY MINI MARKET,90013-1506,"(34.0448, -118.2456)",90013
225,AQUI ES OAXACA I INC.,AQUI ES OAXACA I INC.,90066-4014,"(34.0085, -118.4241)",90066
226,HAEYANG BYUN,Y & Y MARKET | Y AND Y MARKET,90037-1428,"(34.0133, -118.2796)",90037
227,CECILIA CRUZ,CECYS MARKET,90029-1595,"(34.0945, -118.2961)",90029
228,DOMINGO GARCIA GREGORIO,GARCIA MINI MARKET #2,90037-1010,"(34.01, -118.2779)",90037
229,PETER PAN MARKET INC,PETER PAN MARKET,90006-3913,"(34.0472, -118.3001)",90006
230,YESICA PERES,ALLIS MARKET,90061-1303,"(33.9234, 33.9234)",90061
231,LI FAN LEE,CHINA KITCHEN,90019-4233,"(34.0485, -118.3341)",90019
232,1833 C STORE INC,7-ELEVEN STORE 39203A,90006-4525,"(34.0409, -118.2917)",90006
233,SMY TRADING INC,KTOWN VAPE SHOP,90006-2461,,90006
234,LUIS HUMBERTO CORREA,LUIS HUMBERTO CORREA,90011-1779,"(34.0205, -118.2468)",90011
235,JOSE JUAN CABRERA,SAN JOSE MARKET,90065-1009,"(34.0859, -118.2248)",90065
236,VALENTIN ESPINDOLA MORALES,MONTEMAR MARKET,90042-3906,"(34.1068, -118.2035)",90042
237,MINA AWED,DJ'S TOBACCO MARKET,90014-3000,"(34.0446, -118.256)",90014
238,WEST LAKE MARKET INC,SAMS CORNER LIQUOR,90057-3165,"(34.0589, -118.2736)",90057
239,SHAH & MODI CORP,SUBWAY,90044-3712,"(33.988, -118.2914)",90044
240,HIGINIO ANTONIO HERNANDEZ COY,QUETAZAL PRODUCE & MINI MARKET,90037-2220,"(34.009, -118.2783)",90037
241,NEHEMIAH K QATTARAH,ALL VEGAN BABE,90016-1307,"(34.0413, -118.3514)",90016
242,AMADA A SANDOVAL,VARETYS AMADAS,90044-3717,"(33.9836, -118.2914)",90044
243,MAYRA C LOPEZ,CRIS JR MINI MART & 99 CENT STORE #2,90044-4524,"(33.9452, -118.2869)",90044
244,ESWIN TUCHAN,TUCHAN MINI MARKET AND SUPPLY,90018-3419,"(34.0258, -118.3156)",90018
245,"SK MARKET, INC.",JAYS MARKET,90019-4306,"(34.0475, -118.3235)",90019
246,DO YUN BOCK/BOK JA CHO,ANGELUS MINI MARKET,90012-3511,"(34.0523, -118.2484)",90012
247,AMAZON RETAIL LLC,AMAZON RETAIL LLC,90045-2012,"(33.9768, -118.3705)",90045
248,SUKHMAN & KAVNEET INC.,LUCKY 1 FOOD STORE,90001-4055,"(33.9624, 33.9624)",90001
249,GABINO GUTIERREZ REYES/JACQUELINE GUTIERREZ,BOONE'S MARKET,90039-1223,"(34.1333, -118.269)",90039
250,GROCERY OUTLET INC,GROCERY OUTLET INC,90042-4117,"(34.1086, -118.1964)",90042
251,FRANCISCO SANCHEZ GARCIA,DAMUS MARKET,90011-4915,"(33.9952, -118.2477)",90011
252,THANH VAN TRAN,V I P SEAFOODS & POULTRY MARKET,90005-1522,"(34.0566, -118.2916)",90005
253,YU BANG MAI,MANNA,90065-2109,"(34.1127, -118.2412)",90065
254,RICARDO CONTRERAS,POOR RICH'S DELI,90045-4417,"(33.9596, -118.3821)",90045
255,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLE FOODS MARKET,90049-5005,"(34.0534, -118.4669)",90049
256,JS TRADING ENTERPRISE INC,JS TRADING ENTERPRISE INC,90015-3014,"(34.0361, -118.2638)",90015
257,DIANA FIGUEROA,DIANA FIGUEROA,90044-3322,"(33.9528, -118.2915)",90044
258,"UNION 1517, INC.",VIRGIL FARM MARKET,90029-2941,"(34.0871, -118.2867)",90029
259,ROSA M GIRON,ROSITA'S PRODUCE,90016-1502,"(34.0396, -118.3439)",90016
